Tên trường,Link đề án,Địa chỉ
LAH - Trường Sĩ Quan Lục Quân 1 - Đại học Trần Quốc Tuấn,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/truong-si-quan-luc-quan-1-dai-hoc-tran-quoc-tuan-LAH.html,Hà Nội
HQH - Học Viện Hải Quân,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-hai-quan-HQH.html,Khánh Hòa
HHK - Học Viện Hàng không Việt Nam,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-hang-khong-viet-nam-HHK.html,Hồ Chí Minh
PKA - Đại Học Phenikaa,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-phenikaa-PKA.html,Hà Nội
PKH - Học Viện Phòng Không – Không Quân,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-phong-khong-khong-quan-PKH.html,Hà Nội
CSS - Trường Đại Học Cảnh Sát Nhân Dân,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-canh-sat-nhan-dan-CSS.html,Hồ Chí Minh
TTH - Trường Sĩ Quan Thông Tin - Hệ Quân sự - Đại Học Thông Tin Liên Lạc,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/truong-si-quan-thong-tin-he-quan-su-dai-hoc-thong-tin-lien-lac-TTH.html,Khánh Hòa
NHF - Trường Đại Học Hà Nội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-ha-noi-NHF.html,Hà Nội
KQH - Học Viện Kỹ Thuật Quân Sự - Hệ Quân sự,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-ky-thuat-quan-su-he-quan-su-KQH.html,Hà Nội
YTC - Trường Đại Học Y Tế Công Cộng,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-y-te-cong-cong-YTC.html,Hà Nội
HQT - Học Viện Ngoại Giao,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-ngoai-giao-HQT.html,Hà Nội
ANS - Trường Đại Học An Ninh Nhân Dân,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-an-ninh-nhan-dan-ANS.html,
YCT - Trường Đại Học Y Dược Cần Thơ,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-y-duoc-can-tho-YCT.html,
TDM - Trường Đại học Thủ Dầu Một,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-thu-dau-mot-TDM.html,
TYS - Trường Đại Học Y Khoa Phạm Ngọc Thạch,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-y-khoa-pham-ngoc-thach-TYS.html,
DTL - Trường Đại Học Thăng Long,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-thang-long-DTL.html,
TLA - Trường Đại Học Thủy Lợi,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-thuy-loi-co-so-1-TLA.html,
QST - Trường Đại Học Khoa Học Tự Nhiên TPHCM,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-khoa-hoc-tu-nhien-tphcm-QST.html,
VHH - Trường Đại Học Văn Hóa Hà Nội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-van-hoa-ha-noi-VHH.html,
DTT - Trường Đại Học Tôn Đức Thắng,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-ton-duc-thang-DTT.html,
HVN - Học Viện Nông Nghiệp Việt Nam,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-nong-nghiep-viet-nam-HVN.html,
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-ha-noi-QHX.html,
LPH - Trường Đại Học Luật Hà Nội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-luat-ha-noi-LPH.html,
QHF - Trường Đại Học Ngoại Ngữ - ĐH Quốc gia Hà Nội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-ngoai-ngu-ha-noi-QHF.html,
HBT - Học viện Báo chí và Tuyên truyền,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-bao-chi-va-tuyen-truyen-HBT.html,
QHT - Trường Đại Học Khoa Học Tự Nhiên Hà Nội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-khoa-hoc-tu-nhien-dai-hoc-quoc-gia-ha-noi-QHT.html,
QHE - Trường Đại Học Kinh Tế - ĐHQG Hà Nội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-kinh-te-ha-noi-QHE.html,
QSX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn TPHCM,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-khoa-hoc-xa-hoi-va-nhan-van-tphcm-QSX.html,
DTS - Đại Học Sư Phạm Thái Nguyên,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-su-pham-thai-nguyen-DTS.html,
LCH - Trường Sĩ Quan Chính Trị - Đại Học Chính Trị,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/truong-si-quan-chinh-tri-dai-hoc-chinh-tri-LCH.html,
TCT - Đại Học Cần Thơ,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-can-tho-TCT.html,
DKS - Trường Đại học Kiểm Sát,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-kiem-sat-DKS.html,Hà Nội
BPH - Học Viện Biên Phòng,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-bien-phong-BPH.html,Hà Nội
QHL - Trường Đại học Luật – ĐHQG Hà Nội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-luat-dai-hoc-quoc-gia-ha-noi-QHL.html,Hà Nội
DHS - Trường Đại Học Sư Phạm Huế,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-su-pham-hue-DHS.html,Huế
QSC - Trường Đại Học Công Nghệ Thông Tin - ĐHQG TPHCM,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-cong-nghe-thong-tin-dhqg-tphcm-QSC.html,HCM - Hồ Chí Minh
SGD - Trường Đại Học Sài Gòn,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-sai-gon-SGD.html,HCM - Hồ Chí Minh
NQH - Học Viện Khoa Học Quân Sự - Hệ Quân sự,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-khoa-hoc-quan-su-he-quan-su-NQH.html,Hà Nội
NTS - Trường Đại học Ngoại thương (Cơ sở II),https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-ngoai-thuong-co-so-phia-nam-NTS.html,Hồ Chí Minh
HTA - Học viện Tòa án,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-toa-an-HTA.html,Hà Nội
DDS - Trường Đại Học Sư Phạm - Đại Học Đà Nẵng,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-su-pham-dai-hoc-da-nang-DDS.html,Đà Nẵng
SP2 - Trường Đại Học Sư Phạm Hà Nội 2,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-su-pham-ha-noi-2-SP2.html,Vĩnh Phúc
QHS - Trường Đại Học Giáo Dục - ĐHQG Hà Nội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-giao-duc-ha-noi-QHS.html,Hà Nội
VHS - Trường Đại Học Văn Hóa TPHCM,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-van-hoa-tphcm-VHS.html,Hồ Chí Minh
SPK - Trường Đại Học Công nghệ Kỹ thuật TP HCM,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-cong-nghe-ky-thuat-tphcm-SPK.html,HCM - Hồ Chí Minh
HTN - Học Viện Thanh Thiếu Niên Việt Nam,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-thanh-thieu-nien-viet-nam-HTN.html,Hà Nội
YQH - Học Viện Quân Y - Hệ Quân sự,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-quan-y-he-quan-su-YQH.html,Hà Nội
QSK - Trường Đại học Kinh Tế Luật TPHCM,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-kinh-te-luat-tphcm-QSK.html,HCM - Hồ Chí Minh
HEH - Học Viện Hậu Cần - Hệ Quân sự,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-hau-can-he-quan-su-HEH.html,Hà Nội
LPS - Trường Đại Học Luật TPHCM,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-luat-tphcm-LPS.html,Hồ Chí Minh
DDF - Trường Đại Học Ngoại Ngữ Đà Nẵng,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-ngoai-ngu-da-nang-DDF.html,Đà Nẵng
KSA - Đại Học Kinh Tế TPHCM,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-kinh-te-tphcm-KSA.html,HCM - Hồ Chí Minh
QHY - Trường Đại học Y Dược - ĐHQG Hà Nội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-y-duoc-dai-hoc-quoc-gia-ha-noi-QHY.html,Hà Nội
DDK - Trường Đại Học Bách Khoa Đà Nẵng,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bach-khoa-da-nang-DDK.html,Đà Nẵng
DHF - Trường Đại Học Ngoại Ngữ Huế,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-ngoai-ngu-hue-DHF.html,Huế
DMS - Trường Đại Học Tài Chính Marketing,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-tai-chinh-marketing-DMS.html,HCM - Hồ Chí Minh
GSA - Trường Đại Học Giao Thông Vận Tải (Cơ sở 2),https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-giao-thong-van-tai-co-so-phia-nam-GSA.html,HCM - Hồ Chí Minh
TSN - Trường Đại Học Nha Trang,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-nha-trang-TSN.html,Khánh Hòa
LBH - Trường Sĩ Quan Lục Quân 2 - Đại học Nguyễn Huệ,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/truong-si-quan-luc-quan-2-dai-hoc-nguyen-hue-LBH.html,Đồng Nai
BVS - Học Viện Công Nghệ Bưu Chính Viễn Thông (Cơ sở TP.HCM),https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-cong-nghe-buu-chinh-vien-thong-phia-nam-BVS.html,Hồ Chí Minh
YKV - Trường Đại Học Y Khoa Vinh,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-y-khoa-vinh-YKV.html,Nghệ An
YDN - Trường Đại học Kỹ thuật Y Dược Đà Nẵng,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-ky-thuat-y-duoc-da-nang-YDN.html,Đà Nẵng
DTY - Trường Đại Học Y Dược Thái Nguyên,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-y-duoc-thai-nguyen-DTY.html,Thái Nguyên
DHY - Trường Đại Học Y Dược Huế,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-y-duoc-hue-DHY.html,Huế
DDY - Trường Y Dược Đà Nẵng,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/truong-y-duoc-da-nang-DDY.html,Đà Nẵng
KTS - Trường Đại Học Kiến Trúc TPHCM,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-kien-truc-tphcm-KTS.html,HCM - Hồ Chí Minh
HCA - Học Viện Chính Trị Công An Nhân Dân,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-chinh-tri-cong-an-nhan-dan-HCA.html,Hà Nội
QSY - Trường Đại học Khoa học sức khỏe TPHCM,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-khoa-hoc-suc-khoe-tphcm-QSY.html,HCM - Hồ Chí Minh
QSQ - Trường Đại Học Quốc Tế - ĐHQG TPHCM,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-quoc-te-dhqg-tphcm-QSQ.html,HCM - Hồ Chí Minh
THV - Trường Đại Học Hùng Vương,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-hung-vuong-THV.html,Phú Thọ
THP - Trường Đại Học Hải Phòng,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-hai-phong-THP.html,Hải Phòng
HCP - Học Viện Chính Sách và Phát Triển,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-chinh-sach-va-phat-trien-HCP.html,Hà Nội
MHN - Trường Đại Học Mở Hà Nội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-mo-ha-noi-MHN.html,Hà Nội
LDA - Trường Đại Học Công Đoàn,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-cong-doan-LDA.html,Hà Nội
HHA - Trường Đại Học Hàng Hải Việt Nam,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/-HHA.html,Hải Phòng
KTA - Trường Đại Học Kiến Trúc Hà Nội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-kien-truc-ha-noi-KTA.html,Hà Nội
TDV - Trường Đại Học Vinh,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-vinh-TDV.html,Nghệ An
QSA - Trường Đại Học An Giang,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-an-giang-QSA.html,An Giang
HCH - Học Viện Hành Chính và Quản trị công,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-hanh-chinh-va-quan-tri-cong-HCH.html,Hà Nội
SPD - Trường Đại Học Đồng Tháp,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-dong-thap-SPD.html,Đồng Tháp
QHK - Trường Khoa học liên ngành và Nghệ thuật Hà Nội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/truong-khoa-hoc-lien-nganh-va-nghe-thuat-ha-noi-QHK.html,Hà Nội
TTN - Trường Đại Học Tây Nguyên,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-tay-nguyen-TTN.html,Đắk Lắk
DQN - Trường Đại Học Quy Nhơn,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-quy-nhon-DQN.html,Bình Định
DHC - Khoa Giáo Dục Thể Chất Huế,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/khoa-giao-duc-the-chat-hue-DHC.html,Huế
GNT - Trường Đại Học Sư Phạm Nghệ Thuật Trung Ương,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-su-pham-nghe-thuat-trung-uong-GNT.html,Hà Nội
DDQ - Trường Đại Học Kinh Tế – Đại Học Đà Nẵng,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-kinh-te-dai-hoc-da-nang-DDQ.html,Đà Nẵng
DTF - Trường Ngoại Ngữ Thái Nguyên,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/truong-ngoai-ngu-thai-nguyen-DTF.html,Thái Nguyên
HLU - Trường Đại Học Hạ Long,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-ha-long-HLU.html,Quảng Ninh
DKT - Trường Đại Học Hải Dương,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-hai-duong-DKT.html,Hải Dương
DQB - Trường Đại Học Quảng Bình,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-quang-binh-DQB.html,Quảng Bình
DPQ - Trường Đại Học Phạm Văn Đồng,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-pham-van-dong-DPQ.html,Quảng Ngãi
HHT - Trường Đại Học Hà Tĩnh,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-ha-tinh-HHT.html,Hà Tĩnh
DMT - Trường Đại học Tài Nguyên và Môi Trường Hà Nội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-tai-nguyen-va-moi-truong-ha-noi-DMT.html,Hà Nội
HCS - Học Viện Hành Chính Và Quản Trị Công (phía Nam),https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-hanh-chinh-va-quan-tri-cong-phia-nam-HCS.html,Hồ Chí Minh
NHS - Trường Đại Học Ngân Hàng TPHCM,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-ngan-hang-tphcm-NHS.html,Hồ Chí Minh
DLX - Trường Đại Học Lao Động – Xã Hội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-lao-dong-xa-hoi-co-so-ha-noi-DLX.html,Hà Nội
DBL - Trường Đại Học Bạc Liêu,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-bac-lieu-DBL.html,Bạc Liêu
DQU - Trường Đại Học Quảng Nam,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-quang-nam-DQU.html,Quảng Nam
DLS - Trường Đại Học Lao Động – Xã Hội (Cơ sở II),https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-lao-dong-xa-hoi-co-so-phia-nam-DLS.html,Hồ Chí Minh
DPY - Trường Đại Học Phú Yên,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-phu-yen-DPY.html,Phú Yên
DDP - Phân Hiệu Đại Học Đà Nẵng tại Kon Tum,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/phan-hieu-dai-hoc-da-nang-tai-kon-tum-DDP.html,Kon Tum
TDH - Trường Đại Học Sư Phạm Thể Dục Thể Thao Hà Nội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-su-pham-the-duc-the-thao-ha-noi-TDH.html,Hà Nội
KCC - Trường Đại học Kỹ Thuật Công Nghệ Cần Thơ,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-ky-thuat-cong-nghe-can-tho-KCC.html,Cần Thơ
QHQ - Trường Quốc Tế  - ĐHQG Hà Nội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/truong-quoc-te-dai-hoc-quoc-gia-ha-noi-QHQ.html,Hà Nội
KCN - Trường Đại Học Khoa Học Và Công Nghệ Hà Nội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-khoa-hoc-va-cong-nghe-ha-noi-KCN.html,Hà Nội
DCV - Trường Đại học Công nghiệp Vinh,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-cong-nghiep-vinh-DCV.html,Nghệ An
DVT - Đại Học Trà Vinh,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-tra-vinh-DVT.html,Trà Vinh
NLS - Trường Đại Học Nông Lâm TPHCM,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-nong-lam-tphcm-NLS.html,Hồ Chí Minh
HVC - Học viện cán bộ TPHCM,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vien-can-bo-tphcm-HVC.html,Hồ Chí Minh
XDA - Trường Đại Học Xây Dựng Hà Nội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-xay-dung-ha-noi-XDA.html,Hà Nội
SKH - Trường Đại Học Sư Phạm Kỹ Thuật Hưng Yên,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-su-pham-ky-thuat-hung-yen-SKH.html,Hưng Yên
MBS - Trường Đại Học Mở TPHCM,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-mo-tphcm-MBS.html,HCM - Hồ Chí Minh
FBU - Trường Đại Học Tài Chính Ngân Hàng Hà Nội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-tai-chinh-ngan-hang-ha-noi-FBU.html,Hà Nội
GTA - Trường Đại học Công nghệ Giao thông vận tải,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-cong-nghe-giao-thong-van-tai-GTA.html,Hà Nội
MDA - Trường Đại Học Mỏ Địa Chất,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-mo-dia-chat-MDA.html,Hà Nội
DDL - Trường Đại Học Điện Lực,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-dien-luc-DDL.html,Hà Nội
TDS - Trường Đại Học Thể Dục Thể Thao TPHCM,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-the-duc-the-thao-tphcm-TDS.html,HCM - Hồ Chí Minh
DPD - Trường Đại Học Phương Đông,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-phuong-dong-DPD.html,Hà Nội
VLU - Trường Đại Học Sư Phạm Kỹ Thuật Vĩnh Long,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-su-pham-ky-thuat-vinh-long-VLU.html,Vĩnh Long
KTD - Trường Đại Học Kiến Trúc Đà Nẵng,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-kien-truc-da-nang-KTD.html,Đà Nẵng
DQK - Trường Đại Học Kinh Doanh và Công Nghệ Hà Nội,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-kinh-doanh-va-cong-nghe-ha-noi-DQK.html,Hà Nội
DTK - Trường Đại Học Kỹ Thuật Công Nghiệp Thái Nguyên,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-ky-thuat-cong-nghiep-thai-nguyen-DTK.html,Thái Nguyên
STS - Trường Đại Học Sư Phạm Thể Dục Thể Thao TPHCM,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-su-pham-the-duc-the-thao-tphcm-STS.html,HCM - Hồ Chí Minh
UKH - Trường Đại học Khánh Hòa,https://diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-hoc-khanh-hoa-UKH.html,Khánh Hòa
